Ortschaftsname;PLZ;Zusatzziffer;Gemeindename;BFS-Nr;Kantonskürzel;E;N;Sprache;Validity
Aeugst am Albis;8914;00;Aeugst am Albis;1;ZH;8.487911353880977;47.26870659169308;de;2008-07-01
Aeugstertal;8914;02;Aeugst am Albis;1;ZH;8.493639300888871;47.282707711525426;de;2008-07-01
Zwillikon;8909;00;Affoltern am Albis;2;ZH;8.4338163821915;47.289571908993466;de;2008-07-01
Affoltern am Albis;8910;00;Affoltern am Albis;2;ZH;8.454392390322731;47.27879101652252;de;2008-07-01
Bonstetten;8906;00;Bonstetten;3;ZH;8.462510333349584;47.31603645125777;de;2008-07-01
Sihlbrugg;6340;04;Hausen am Albis;4;ZH;8.57526328532996;47.22116099918424;de;2008-07-01
Langnau am Albis;8135;00;Hausen am Albis;4;ZH;8.522602732784598;47.26616249106587;de;2008-07-01
Hausen am Albis;8915;00;Hausen am Albis;4;ZH;8.533080372240457;47.2486831186129;de;2008-07-01
Ebertswil;8925;00;Hausen am Albis;4;ZH;8.553387816630666;47.22790944223427;de;2008-07-01
Hedingen;8908;00;Hedingen;5;ZH;8.450402732189215;47.30233830422904;de;2008-07-01
Kappel am Albis;8926;00;Kappel am Albis;6;ZH;8.518401273495831;47.22850464821109;de;2008-07-01
Hauptikon;8926;02;Kappel am Albis;6;ZH;8.49443521433375;47.2325473484479;de;2008-07-01
Uerzlikon;8926;03;Kappel am Albis;6;ZH;8.499050491730666;47.21811361049676;de;2008-07-01
Knonau;8934;00;Knonau;7;ZH;8.463070514398174;47.22429178974388;de;2008-07-01
Maschwanden;8933;00;Maschwanden;8;ZH;8.430865808171731;47.23566580505311;de;2008-07-01
Mettmenstetten;8932;00;Mettmenstetten;9;ZH;8.46621230087719;47.24873640600875;de;2008-07-01
Affoltern am Albis;8910;00;Obfelden;10;ZH;8.438566231239783;47.27137607065747;de;2008-07-01
Obfelden;8912;00;Obfelden;10;ZH;8.422386633606727;47.260397515169295;de;2008-07-01
Ottenbach;8913;00;Ottenbach;11;ZH;8.408574839512227;47.281075029152625;de;2008-07-01
Rifferswil;8911;00;Rifferswil;12;ZH;8.494887179527833;47.245500568314604;de;2008-07-01
Adliswil;8134;00;Stallikon;13;ZH;8.505877599105137;47.31210529034569;de;2008-07-01
Stallikon;8143;00;Stallikon;13;ZH;8.489620691164005;47.329713161264756;de;2008-07-01
Uetliberg;8143;02;Stallikon;13;ZH;8.491735690409815;47.348511837034664;de;2008-07-01
Wettswil;8907;00;Wettswil am Albis;14;ZH;8.470612514879852;47.337402201764085;de;2008-07-01
Benken ZH;8463;00;Benken (ZH);22;ZH;8.654666544357353;47.65377796251362;de;2008-07-01
Berg am Irchel;8415;00;Berg am Irchel;23;ZH;8.585741053392127;47.56297524636508;de;2008-07-01
Gräslikon;8415;01;Berg am Irchel;23;ZH;8.605113275160601;47.55600242385774;de;2008-07-01
Buch am Irchel;8414;00;Buch am Irchel;24;ZH;8.625154489252619;47.55047880538237;de;2008-07-01
Dachsen;8447;00;Dachsen;25;ZH;8.62437529263727;47.6617499423667;de;2008-07-01
Dorf;8458;00;Dorf;26;ZH;8.64932974753579;47.5712719631618;de;2008-07-01
Feuerthalen;8245;00;Feuerthalen;27;ZH;8.644166019684505;47.68902348007601;de;2008-07-01
Langwiesen;8246;00;Feuerthalen;27;ZH;8.662656729449107;47.68335283582841;de;2008-07-01
Flaach;8416;00;Flaach;28;ZH;8.601940328056678;47.583401999004295;de;2008-07-01
Flurlingen;8247;00;Flurlingen;29;ZH;8.6355100827768;47.6836038261692;de;2008-07-01
Henggart;8444;00;Henggart;31;ZH;8.680830541990279;47.56038766231421;de;2008-07-01
Kleinandelfingen;8451;00;Kleinandelfingen;33;ZH;8.684949094705372;47.60679238878254;de;2008-07-01
Alten;8453;00;Kleinandelfingen;33;ZH;8.640865572663692;47.596902623289495;de;2008-07-01
Oerlingen;8461;00;Kleinandelfingen;33;ZH;8.677585176683852;47.623230234051334;de;2008-07-01
Nohl;8212;04;Laufen-Uhwiesen;34;ZH;8.610294829282594;47.66327005571952;de;2008-07-01
Uhwiesen;8248;00;Laufen-Uhwiesen;34;ZH;8.650169370351245;47.66931255982341;de;2008-07-01
